featureid,features,propertyType,yearBuilt,zoning
80,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stone"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 4, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,1977.0,unkown
81,"{""architectureType"": ""Condo / Apartment""}",Condo,0.0,unkown
82,"{""architectureType"": ""Other"", ""exteriorType"": ""Wood Siding"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Shingle (Not Wood)"", ""roomCount"": 12, ""unitCount"": 2}",Apartment,1875.0,RURRES
83,"{""architectureType"": ""Condo / Apartment"", ""unitCount"": 1}",Condo,1970.0,unkown
84,"{""cooling"": true, ""coolingType"": ""Window"", ""heating"": true}",Single Family,1915.0,unkown
85,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""OTHER"", ""fireplace"": true, ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,1960.0,RA
86,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""roomCount"": 3, ""unitCount"": 1}",Condo,2000.0,unkown
87,"{""floorCount"": 1, ""roofType"": ""Roll Tar & Gravel"", ""unitCount"": 1}",Single Family,1985.0,unkown
88,"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""roofType"": ""Concrete""}",Single Family,2011.0,R-6
89,"{""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Carport"", ""pool"": true, ""roofType"": ""Other"", ""unitCount"": 1}",Single Family,1969.0,"0100:SINGLE FAM,GENERAL"
90,"{""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,1991.0,R2
91,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,1961.0,RS-5
92,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Built-in"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,2006.0,unkown
93,"""unkown""",Single Family,2023.0,unkown
94,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""pool"": true, ""poolType"": ""Pool and Hot Tub / Spa"", ""roomCount"": 7}",Single Family,1994.0,R-3
95,"{""architectureType"": ""Ranch / Rambler"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,1962.0,R-2
96,"{""architectureType"": ""Split Level"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,1947.0,unkown
