saleid,lastSalePrice,Date,Day,Month,Year
104,1070010.0,2021-01-28,Thursday,January,2021.0
105,214000.0,2008-01-02,Wednesday,January,2008.0
106,17500.0,2009-04-30,Thursday,April,2009.0
107,400000.0,2022-01-25,Tuesday,January,2022.0
108,300000.0,2017-04-27,Thursday,April,2017.0
109,687500.0,2022-05-12,Thursday,May,2022.0
110,30850.0,2006-09-19,Tuesday,September,2006.0
111,150000.0,2020-01-30,Thursday,January,2020.0
112,826000.0,2022-08-17,Wednesday,August,2022.0
113,1850000.0,2022-05-31,Tuesday,May,2022.0
114,0.0,2007-09-25,Tuesday,September,2007.0
115,75500.0,2005-02-28,Monday,February,2005.0
116,231900.0,2022-01-03,Monday,January,2022.0
117,15000.0,2011-12-21,Wednesday,December,2011.0
118,70000.0,1997-05-30,Friday,May,1997.0
119,225000.0,2003-12-15,Monday,December,2003.0
120,219730.0,2001-03-01,Thursday,March,2001.0
121,373000.0,2023-11-17,Friday,November,2023.0
122,98000.0,1994-08-09,Tuesday,August,1994.0
123,0.0,2017-12-27,Wednesday,December,2017.0
124,477500.0,2012-07-06,Friday,July,2012.0
125,97000.0,2020-10-13,Tuesday,October,2020.0
126,0.0,2013-08-26,Monday,August,2013.0
127,59400.0,2019-07-13,Saturday,July,2019.0
128,0.0,2005-04-18,Monday,April,2005.0
129,36000.0,2019-12-19,Thursday,December,2019.0
130,0.0,1997-05-14,Wednesday,May,1997.0
131,226000.0,2012-11-27,Tuesday,November,2012.0
132,130000.0,2004-07-27,Tuesday,July,2004.0
133,0.0,2007-11-30,Friday,November,2007.0
134,285000.0,2021-06-21,Monday,June,2021.0
135,250000.0,2010-03-16,Tuesday,March,2010.0
136,315000.0,2023-08-24,Thursday,August,2023.0
137,2325000.0,2023-12-27,Wednesday,December,2023.0
138,225000.0,2013-12-04,Wednesday,December,2013.0
139,225500.0,2022-02-04,Friday,February,2022.0
140,374500.0,2023-11-03,Friday,November,2023.0
141,0.0,2013-07-01,Monday,July,2013.0
142,38764.0,2001-01-05,Friday,January,2001.0
143,0.0,2024-05-01,Wednesday,May,2024.0
144,90000.0,2017-08-16,Wednesday,August,2017.0
145,450000.0,2024-01-03,Wednesday,January,2024.0
146,189100.0,2019-12-19,Thursday,December,2019.0
147,330000.0,2021-12-27,Monday,December,2021.0
148,0.0,2005-05-24,Tuesday,May,2005.0
149,5000.0,2020-08-06,Thursday,August,2020.0
150,957700.0,2018-04-20,Friday,April,2018.0
151,469000.0,2021-04-23,Friday,April,2021.0
152,893500.0,2021-11-09,Tuesday,November,2021.0
153,199890.0,2020-10-07,Wednesday,October,2020.0
154,376000.0,2023-07-11,Tuesday,July,2023.0
155,365000.0,2013-04-04,Thursday,April,2013.0
156,310000.0,2022-06-08,Wednesday,June,2022.0
157,0.0,2016-03-01,Tuesday,March,2016.0
158,40000.0,2007-03-21,Wednesday,March,2007.0
159,115000.0,2016-05-24,Tuesday,May,2016.0
160,0.0,2013-09-12,Thursday,September,2013.0
161,360000.0,2021-12-03,Friday,December,2021.0
162,735000.0,2016-12-12,Monday,December,2016.0
163,229900.0,2009-07-24,Friday,July,2009.0
164,410000.0,2020-03-17,Tuesday,March,2020.0
165,0.0,2021-05-11,Tuesday,May,2021.0
166,85000.0,2002-05-02,Thursday,May,2002.0
167,74000.0,2014-06-05,Thursday,June,2014.0
168,324900.0,2021-12-09,Thursday,December,2021.0
169,230000.0,1993-09-01,Wednesday,September,1993.0
170,0.0,2001-10-04,Thursday,October,2001.0
171,325003.0,2011-05-11,Wednesday,May,2011.0
172,94000.0,2009-03-02,Monday,March,2009.0
173,0.0,2016-12-05,Monday,December,2016.0
174,46000.0,2005-06-09,Thursday,June,2005.0
175,48900.0,2017-10-11,Wednesday,October,2017.0
176,0.0,2000-09-25,Monday,September,2000.0
177,483305.0,2006-05-31,Wednesday,May,2006.0
178,254000.0,2004-05-10,Monday,May,2004.0
179,0.0,2021-10-01,Friday,October,2021.0
180,0.0,2010-06-29,Tuesday,June,2010.0
